Date,Open,High,Low,Close,Adj Close,Volume
2009-06-03,44.500000,44.700001,43.959999,44.099998,25.939575,1914500
2009-06-04,44.250000,45.250000,44.230000,45.209999,26.592484,1787300
2009-06-05,45.439999,45.619999,44.549999,45.220001,26.598364,1924600
2009-06-08,44.900002,45.650002,44.669998,45.580002,26.810118,1524300
2009-06-09,45.750000,45.770000,45.049999,45.070000,26.510134,1345400
2009-06-10,45.410000,45.500000,44.349998,45.230000,26.604237,1851600
2009-06-11,45.180000,45.470001,44.830002,45.320000,26.657183,1387100
2009-06-12,45.250000,45.610001,45.090000,45.599998,26.821877,1559500
2009-06-15,45.270000,45.500000,44.299999,45.299999,26.645424,2063600
2009-06-16,45.619999,45.650002,44.740002,44.959999,26.445431,1582900
2009-06-17,44.849998,45.090000,44.450001,44.490002,26.168985,1434900
2009-06-18,44.500000,45.650002,44.410000,45.619999,26.833649,2690700
2009-06-19,45.720001,46.570000,45.669998,46.540001,27.374788,3914300
2009-06-22,45.980000,46.259998,45.459999,46.009998,27.063036,2387700
2009-06-23,45.810001,45.990002,44.919998,45.490002,26.757185,2338700
2009-06-24,45.980000,46.910000,45.810001,46.779999,27.515945,2393900
2009-06-25,46.500000,47.880001,46.320000,47.759998,28.092390,2234300
2009-06-26,47.340000,49.220001,47.320000,49.099998,28.880589,2302300
2009-06-29,49.150002,50.000000,49.020000,49.980000,29.398190,1902000
2009-06-30,49.750000,49.959999,48.369999,49.020000,28.833515,2533100
2009-07-02,48.880001,49.680000,48.200001,48.619999,28.598240,2366600
2009-07-03,48.410000,49.290001,48.389999,49.099998,28.880589,499900
2009-07-06,48.490002,49.099998,47.779999,48.650002,28.615892,1336400
2009-07-07,48.419998,48.849998,47.209999,47.290001,27.815945,2182900
2009-07-08,46.810001,47.270000,45.189999,45.950001,27.027740,3419100
2009-07-09,46.150002,46.360001,45.209999,46.349998,27.263020,1599200
2009-07-10,46.000000,46.090000,45.150002,45.970001,27.039516,1460800
2009-07-13,46.000000,46.900002,45.320000,46.900002,27.586548,1403600
2009-07-14,47.470001,48.240002,46.959999,48.099998,28.292381,1792100
2009-07-15,48.500000,49.580002,48.439999,49.200001,28.939396,2340800
2009-07-16,48.849998,49.380001,48.549999,49.189999,28.933506,1282600
2009-07-17,49.000000,49.360001,48.619999,49.169998,28.921753,1209700
2009-07-20,49.349998,49.900002,48.980000,49.500000,29.115845,1272600
2009-07-21,49.660000,49.680000,48.639999,49.150002,28.909994,1488500
2009-07-22,48.700001,49.459999,48.610001,48.650002,28.615892,2161000
2009-07-23,48.810001,50.000000,48.750000,50.000000,29.409962,2466400
2009-07-24,50.000000,51.700001,49.450001,51.669998,30.392252,3180800
2009-07-27,51.509998,52.820000,51.419998,52.500000,30.880459,2642000
2009-07-28,52.000000,52.480000,51.130001,51.669998,30.392252,5108800
2009-07-29,51.099998,52.080002,50.759998,52.080002,30.633415,2199800
2009-07-30,52.500000,52.799999,52.060001,52.799999,31.056913,2244700
2009-07-31,52.680000,54.049999,52.630001,54.020000,31.774517,2376100
2009-08-04,54.549999,54.750000,54.060001,54.549999,32.086273,4257800
2009-08-05,54.000000,54.529999,54.000000,54.369999,32.396091,3109900
2009-08-06,54.410000,54.529999,52.410000,52.410000,31.228256,2183600
2009-08-07,53.049999,53.939999,52.520000,53.580002,31.925386,1638400
2009-08-10,53.009998,53.419998,52.400002,52.630001,31.359335,1250800
2009-08-11,52.400002,52.540001,50.639999,50.759998,30.245106,2109300
2009-08-12,50.500000,51.700001,50.410000,50.830002,30.286808,1510700
2009-08-13,51.500000,51.680000,50.849998,51.330002,30.584736,1434900
